player_display_name,position,team,production_score,2026_opponent_def_rating,predictions_2026
Will Mallory,TE,IND,2.6,16.58823529411765,2.65
Eric Gray,RB,NYG,0.0,17.558823529411764,0.21
Evan Hull,RB,NO,6.3999999999999995,19.41176470588235,7.62
Tanner McKee,QB,PHI,13.760000000000002,20.205882352941178,16.75
Lew Nichols III,RB,PIT,0.0,15.588235294117647,0.14
Tyson Bagent,QB,CHI,2.58,13.823529411764707,1.61
Zavier Scott,RB,MIN,39.2,18.470588235294116,44.21
Keaton Mitchell,RB,BAL,55.4,17.88235294117647,64.98
Travis Vokolek,TE,ARI,0.0,15.470588235294118,-0.06
Owen Wright,RB,TB,0.6,17.61764705882353,0.77
Malik Heath,WR,GB,14.6,17.38235294117647,15.53
Jason Brownlee,WR,KC,0.0,16.147058823529413,0.14
Xavier Gipson,WR,NYJ,0.0,15.117647058823529,0.0
Xavier Gipson,WR,PHI,2.6,20.205882352941178,3.72
E.J. Jenkins,TE,PHI,0.0,20.205882352941178,0.61
Nikko Remigio,WR,KC,4.2,16.147058823529413,4.26
Bijan Robinson,RB,ATL,370.8,17.058823529411764,383.73
Jaxon Smith-Njigba,WR,SEA,410.7999999999999,17.176470588235293,426.79
Quentin Johnston,WR,LAC,178.2,14.029411764705882,145.59
Luke Schoonmaker,TE,DAL,27.2,16.676470588235293,27.24
Kendre Miller,RB,NO,33.3,19.41176470588235,39.81
Tank Bigsby,RB,JAX,1.2,17.705882352941178,1.4
Tank Bigsby,RB,PHI,54.5,20.205882352941178,68.42
Darnell Washington,TE,PIT,73.4,15.588235294117647,67.08
Michael Wilson,WR,ARI,220.6,15.470588235294118,206.34
Tre Tucker,WR,LV,161.7,13.205882352941176,128.48
Cameron Latu,TE,PHI,0.0,20.205882352941178,0.61
Derius Davis,WR,LAC,3.5,14.029411764705882,2.65
Charlie Jones,WR,CIN,0.0,16.705882352941178,0.13
Aidan O'Connell,QB,LV,4.78,13.205882352941176,3.12
Clayton Tune,QB,GB,1.98,17.38235294117647,2.02
Josh Whyle,TE,GB,16.3,17.38235294117647,18.22
Justin Shorter,TE,LV,0.0,13.205882352941176,-0.31
Chase Brown,RB,CIN,280.6,16.705882352941178,287.98
Parker Washington,WR,JAX,196.6,17.705882352941178,212.5
Kayshon Boutte,WR,NE,155.9,15.647058823529411,148.34
Chris Rodriguez Jr.,RB,WAS,92.0,17.676470588235293,99.12
Xavier Hutchinson,WR,HOU,110.5,18.529411764705884,119.12
Andrei Iosivas,WR,CIN,89.9,16.705882352941178,92.62
DeMario Douglas,WR,NE,118.2,15.647058823529411,113.74
Jalen Brooks,WR,ARI,8.1,15.470588235294118,7.47
Jalen Brooks,WR,DAL,0.0,16.676470588235293,0.14
Brayden Willis,TE,SF,0.0,16.235294117647058,0.14
Ronnie Bell,WR,NO,10.3,19.41176470588235,12.53
Adrian Martinez,QB,SF,-0.1,16.235294117647058,0.14
Jordan Mims,RB,TEN,0.0,18.176470588235293,0.24
Tyrell Shavers,WR,BUF,47.9,15.323529411764707,42.07
Chris Brooks,RB,GB,36.4,17.38235294117647,38.96
Emari Demercado,RB,ARI,58.3,15.470588235294118,58.75
Blake Whiteheart,TE,CLE,2.4,20.058823529411764,3.59
Julian Hill,TE,MIA,29.0,15.529411764705882,26.66
Jared Wayne,WR,HOU,4.0,18.529411764705884,4.92
Princeton Fant,TE,DAL,0.0,16.676470588235293,0.14
Hunter Luepke,RB,DAL,37.0,16.676470588235293,35.85
Jalen Cropper,WR,DAL,0.0,16.676470588235293,0.14
Jake Bobo,WR,SEA,15.3,17.176470588235293,14.97
Nate Adkins,TE,DEN,17.9,14.735294117647058,16.46
Jaleel McLaughlin,RB,DEN,35.8,14.735294117647058,33.92
Emanuel Wilson,RB,GB,92.8,17.38235294117647,97.89
Ben Sims,TE,MIN,6.0,18.470588235294116,6.96
Ryan Miller,WR,TB,11.4,17.61764705882353,12.12
Mitchell Tinsley,WR,CIN,31.6,16.705882352941178,32.34
Brycen Tremayne,WR,CAR,30.0,15.352941176470589,29.61
Shedrick Jackson,WR,LV,15.9,13.205882352941176,12.59
Jacob Saylors,RB,DET,1.1,18.0,1.4
Malik Cunningham,WR,DET,0.1,18.0,0.35
Dalton Kincaid,TE,BUF,158.2,15.323529411764707,144.13
Brenton Strange,TE,JAX,120.9,17.705882352941178,130.32
Jalin Hyatt,WR,NYG,8.5,17.558823529411764,8.34
Sean Tucker,RB,TB,91.4,17.61764705882353,98.69
Dylan Drummond,WR,ATL,11.2,17.058823529411764,11.69
Marvin Mims Jr.,WR,DEN,122.5,14.735294117647058,111.96
Cedric Tillman,WR,CLE,60.0,20.058823529411764,71.85
Jordan Addison,WR,MIN,135.1,18.470588235294116,143.22
Tucker Kraft,TE,GB,117.2,17.38235294117647,120.99
Josh Downs,WR,IND,138.4,16.58823529411765,135.93
Roschon Johnson,RB,CHI,1.7,13.823529411764707,0.65
Tyjae Spears,RB,TEN,111.7,18.176470588235293,122.24
De'Von Achane,RB,MIA,322.8,15.529411764705882,300.61
Elijah Higgins,TE,ARI,60.1,15.470588235294118,58.86
Payne Durham,TE,TB,2.1,17.61764705882353,2.28
Jonathan Mingo,WR,DAL,3.5,16.676470588235293,3.47
Zay Flowers,WR,BAL,249.3,17.88235294117647,270.95
Sam LaPorta,TE,DET,106.9,18.0,115.9
Michael Mayer,TE,LV,73.8,13.205882352941176,60.11
Rashee Rice,WR,KC,148.1,16.147058823529413,145.83
Davis Allen,TE,LA,62.8,15.411764705882353,58.86
Puka Nacua,WR,LA,454.6,15.411764705882353,423.7
Jahmyr Gibbs,RB,DET,366.9,18.0,400.48
Luke Musgrave,TE,GB,51.1,17.38235294117647,53.12
Jayden Reed,WR,GB,64.2,17.38235294117647,66.74
Bryce Young,QB,CAR,241.0,15.352941176470589,220.63
C.J. Stroud,QB,HOU,226.12,18.529411764705884,251.76
Anthony Richardson,QB,IND,2.16,16.58823529411765,2.12
Zach Charbonnet,RB,SEA,181.4,17.176470588235293,192.42
Kendall Milton,RB,CIN,0.2,16.705882352941178,0.28
George Holani,RB,SEA,23.200000000000003,17.176470588235293,22.53
Jack Westover,TE,NE,2.8,15.647058823529411,2.65
Malik Nabers,WR,NYG,57.1,17.558823529411764,64.25
Brock Bowers,TE,LV,174.2,13.205882352941176,140.8
Xavier Legette,WR,CAR,91.1,15.352941176470589,85.04
Luke McCaffrey,WR,WAS,49.3,17.676470588235293,53.85
Ja'Tavion Sanders,TE,CAR,54.0,15.352941176470589,50.27
Cade Stover,TE,HOU,25.4,18.529411764705884,27.95
Bucky Irving,RB,TB,138.5,17.61764705882353,139.23
Isaac Guerendo,RB,SF,0.0,16.235294117647058,0.14
Sione Vaki,RB,DET,0.4,18.0,0.57
Audric Estimé,RB,NO,48.1,19.41176470588235,53.77
Spencer Rattler,QB,NO,101.14,19.41176470588235,122.49
Jamari Thrash,WR,CLE,20.7,20.058823529411764,24.83
Tyrone Tracy Jr.,RB,NYG,162.8,17.558823529411764,174.89
Kimani Vidal,RB,LAC,125.0,14.029411764705882,109.92
Casey Washington,WR,ATL,15.4,17.058823529411764,14.97
Joe Milton III,QB,DAL,10.32,16.676470588235293,11.23
Jawhar Jordan,RB,HOU,29.7,18.529411764705884,33.59
Dylan Laube,RB,LV,5.7,13.205882352941176,3.78
Ryan Flournoy,WR,DAL,114.0,16.676470588235293,116.06
Devaughn Vele,WR,NO,66.3,19.41176470588235,77.89
Isaiah Williams,WR,NYJ,48.7,15.117647058823529,44.89
Brenden Bates,TE,CLE,4.5,20.058823529411764,5.4
Brenden Bates,TE,HOU,4.3,18.529411764705884,4.98
Frank Gore Jr.,RB,BUF,1.6,15.323529411764707,1.34
Hayden Rucci,TE,MIA,0.0,15.529411764705882,0.14
Jalen Coker,WR,CAR,118.8,15.352941176470589,108.25
Xavier Weaver,WR,ARI,13.7,15.470588235294118,13.14
Brevyn Spann-Ford,TE,DAL,24.0,16.676470588235293,24.42
Kedon Slovis,QB,ARI,-0.08,15.470588235294118,-0.06
Kameron Johnson,WR,TB,17.7,17.61764705882353,18.39
